Zip code	Density (/sq. mi)	Land Area	Population	Per Capita Income	Median Household Income
94127	10970	0.531904577	20624	37525	95313
94105	5903	2.868318756	2058	63104	88976
94123	22681	0.990306947	22903	53615	84710
94130	1613	1.110116999	1453	29874	80959
94131	13071	0.468545005	27897	37833	76044
94114	22377	0.731896383	30574	41381	75727
94129	954	0.428186715	2228	26559	73571
94116	16630	0.387122306	42958	23543	66627
94117	27861	0.719216273	38738	32479	63983
94121	14397	0.338968286	42473	25422	61776
94118	22073	0.566860988	38939	27627	61609
94107	7126	0.410294795	17368	33715	61362
94122	17435	0.314189433	55492	23723	60733
94112	22097	0.302268002	73104	16053	57629
94111	7017	2.104047976	3335	39013	56569
94132	6473	0.246205926	26291	21912	55000
94115	29462	0.889687453	33115	29664	54879
94134	13071	0.325683959	40134	14647	54342
94110	31344	0.419975078	74633	19144	53795
94109	46521	0.825982742	56322	26490	43444
94133	40118	1.495433705	26827	20807	40990
94124	6631	0.199909557	33170	10583	37146
94108	53134	3.873869933	13716	17720	31542
94103	17140	0.74469934	23016	15260	31131
94102	44719	1.542513194	28991	13225	22351
94104	4598	12.29411765	374	8116	14609